date,ASML,NVDA,INTC,AMD,ARM,AMZN,AAPL,NET,MSFT,JPM,SPY,GS,MS,UBS,LMT,RTX,GE,BA,GD,PEP,KO,BATS.LON,SHEL.LON,USDEUR,ASML_USD_EUR,NVDA_USD_EUR,INTC_USD_EUR,AMD_USD_EUR,ARM_USD_EUR,AMZN_USD_EUR,AAPL_USD_EUR,NET_USD_EUR,MSFT_USD_EUR,JPM_USD_EUR,SPY_USD_EUR,GS_USD_EUR,MS_USD_EUR,UBS_USD_EUR,LMT_USD_EUR,RTX_USD_EUR,GE_USD_EUR,BA_USD_EUR,GD_USD_EUR,PEP_USD_EUR,KO_USD_EUR,GBPEUR,BATS.LON_GBP_EUR,SHEL.LON_GBP_EUR
2025-10-13,982.948961638656,188.32,37.22,216.42,171.94,220.07,247.421238458971,222.56,513.074105019402,307.97,663.04,786.78,154.189818181818,40.39,503.83,158.215942709556,297.53,215.56,334.39,148.89,66.8,37.88,26.718508999999997,0.8642,849.4644926481265,162.746144,32.165524,187.03016399999998,148.59054799999998,190.184494,213.82143427624274,192.336352,443.39864155776723,266.147674,572.9991679999999,679.9352759999999,133.2508408727271,34.905038,435.409886,136.7302176895983,257.12542599999995,186.28695199999999,288.979838,128.67073799999997,57.728559999999995,1.15215,43.643442,30.78373014435
2025-10-10,934.563187695746,183.16,36.37,214.9,154.81,216.37,245.033542585932,213.82,509.989971210414,300.89,653.02,764.36,150.939636363636,39.74,505.05,157.070532988965,291.49,210.73,332.94,150.08,67.04,38.45,26.708602,0.8604,804.0981666934199,157.590864,31.292748,184.89996000000002,133.19852400000002,186.164748,210.8268600409359,183.970728,438.79537122944026,258.885756,561.858408,657.655344,129.86846312727243,34.192296000000006,434.54502,135.14348658370548,250.797996,181.312092,286.46157600000004,129.12883200000002,57.681216000000006,1.14932,44.191354,30.696730450639997
2025-10-09,978.836120940394,192.57,37.8,232.89,170.66,227.74,253.795087693277,220.95,521.408253014562,305.53,671.16,779.96,155.322909090909,40.13,507.76,161.532650857009,299.35,216.0,341.232639038393,144.71,66.37,38.31,27.506095000000002,0.8646,846.3017101650647,166.496022,32.68188,201.356694,147.552636,196.90400400000001,219.4312328196073,191.03337,450.8095755563903,264.16123799999997,580.284936,674.353416,134.29218719999994,34.696398,439.009296,139.66112993097,258.81801,186.7536,295.0297397125946,125.11626600000001,57.38350200000001,1.15,44.0565,31.63200925
2025-10-08,986.093487900677,189.11,37.43,235.56,166.77,225.22,257.811212132448,220.0,523.853601827513,304.03,673.11,776.51,154.706666666667,40.67,514.02,167.897144869688,302.56,225.32,344.88617868676,138.84,66.12,38.37,27.382261,0.8599,847.9417902457922,162.615689,32.186057,202.558044,143.40552300000002,193.666678,221.69186131269205,189.178,450.4617122114784,261.43539699999997,578.807289,667.720949,133.03226266666695,34.972133,442.00579799999997,144.37475487344472,260.171344,193.752668,296.5676250527449,119.388516,56.856588,1.15261,44.225645699999994,31.561067851209998
2025-10-07,1000.55830870597,185.04,37.17,211.51,159.345,221.78,256.232735362824,217.39,522.985253473526,307.69,669.12,789.65,155.024727272727,40.91,511.07,168.59435078657,301.74,221.82,341.889678866164,140.79,66.79,38.54,27.530862000000003,0.8577,858.1788613771105,158.708808,31.880709000000003,181.412127,136.6702065,190.220706,219.77081712069412,186.455403,448.56445190424324,263.905713,573.904224,677.2828049999999,132.96470858181794,35.088507,438.344739,144.60337466964108,258.80239800000004,190.255014,293.23877756350885,120.755583,57.28578300000001,1.15121,44.3676334,31.693803643020004
2025-10-06,1041.48706322752,185.54,36.59,203.71,156.22,220.9,256.442532908154,221.03,527.566539616973,309.18,671.61,796.78,157.131878787879,41.04,514.24,168.126226813806,298.22,219.73,344.945909580194,139.7,66.1,37.85,27.114779,0.8539,889.3258032899793,158.432606,31.244201000000004,173.947969,133.396258,188.62651,218.9762788502727,188.737517,450.4890681789333,264.008802,573.487779,680.370442,134.17491129696987,35.044056,439.109536,143.56298507630893,254.65005800000003,187.627447,294.54931219052764,119.28983,56.442789999999995,1.15123,43.5740555,31.215347028169997
2025-10-03,1030.42631688365,187.62,36.83,164.67,152.64,219.51,257.771250695243,216.67,516.367840155213,308.533138277327,669.21,789.98,156.634909090909,41.1,504.49,165.915088048838,297.0,216.3,342.078826695371,141.98,66.65,38.15,26.772996,0.8515,877.408008826428,159.75843,31.360745,140.21650499999998,129.97296,186.912765,219.49221996699941,184.494505,439.68721589216386,262.71596724314395,569.8323150000001,672.6679700000001,133.374625090909,34.99665,429.573235,141.27669747358556,252.8955,184.17945000000003,291.2801209311084,120.89596999999999,56.752475000000004,1.14765,43.7828475,30.7260288594
2025-10-02,1028.37987915757,188.89,37.3,169.73,152.145,222.41,256.882108717416,224.56,514.76089664956,306.06511201236,669.22,779.38,154.358787878788,40.34,499.36,165.964888471472,299.45,217.43,339.520353426624,142.31,66.1,38.57,26.45598,0.8534,877.6193888730703,161.198726,31.83182,144.847582,129.84054300000003,189.804694,219.2231915794428,191.63950400000002,439.2969492007345,261.195966591348,571.1123480000001,665.122892,131.7297895757577,34.426156000000006,426.15382400000004,141.6344358215542,255.55063,185.554762,289.74666961428096,121.447354,56.40974,1.14654,44.2220478,30.332839309199997
2025-10-01,1001.52662314222,187.24,35.94,164.01,150.38,220.63,255.203728354778,217.06,518.723359828097,309.209855156431,668.45,785.51,155.939151515152,40.42,499.0,166.532613289505,300.88,215.2,339.221698959455,143.14,66.78,38.4594,26.555047,0.8524,853.7012935664284,159.60337600000003,30.635256,139.802124,128.183912,188.065012,217.53565804961278,185.02194400000002,442.15979191746993,263.5704805353418,569.78678,669.568724,132.92253275151558,34.454008,425.3476,141.95239956797408,256.47011200000003,183.43648,289.15257619303947,122.012536,56.923272000000004,1.14878,44.181389532,30.505906892659997
2025-09-30,966.40775523812,186.58,33.55,161.79,141.49,219.57,254.384518892061,214.59,516.966701088997,313.907066434917,666.18,796.35,157.996606060606,41.0,499.21,166.662094388354,300.82,215.83,339.470577682095,140.44,66.32,38.863096,26.218218,0.8522,823.5726890139258,159.003476,28.591309999999996,137.87743799999998,120.577778,187.11755399999998,216.78648699981437,182.873598,440.55902266804316,267.5116020158363,567.7185959999999,678.64947,134.64470768484844,34.9402,425.42676199999994,142.02943683775527,256.35880399999996,183.930326,289.29682630068135,119.68296799999999,56.517903999999994,1.14544,44.51534468224,30.031395625920002
